estr : начальник
ist : профессия
ebl : возможность
ind : достойный
igx : делаться, становиться
obl : кратность
end : обязанность
ism : учение, доктрина
ing : то, в что вставляют
acx : презрительное отношение
in  : женский род
il  : инструмент
ar  : совокупность
er  : частица
ej  : помещение, место
ul  : человек
an  : член общества
aj  : вещь, объект действия
em  : склонность
et  : малый размер
eg  : большой размер
ad  : длительность действия
ig  : делать, заставлять
ec  : абстрактное свойство, состояние
on  : кратная часть
id  : потомок
uj  : вместилище
um  : слова, соотносящиеся с исходными
